% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 82.59    0.003397        1132         3           wait4
  4.94    0.000203           4        57        25 stat
  4.28    0.000176           4        49        32 access
  3.26    0.000134          45         3           vfork
  2.02    0.000083           3        24           lstat
  1.39    0.000057           3        17         6 openat
  0.56    0.000023           8         3           unlink
  0.36    0.000015           2         8           readlink
  0.24    0.000010           1        11           close
  0.22    0.000009           3         3           getpid
  0.15    0.000006           3         2           getcwd
  0.00    0.000000           0         3           read
  0.00    0.000000           0         8           fstat
  0.00    0.000000           0         9           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         9           rt_sigaction
  0.00    0.000000           0         3           ioctl
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         2           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.004113                   225        63 total
